iter	Passed	Remaining
0	192	191844
1	195	97525
2	197	65794
3	199	49798
4	209	41692
5	212	35189
6	214	30475
7	222	27612
8	225	24777
9	228	22616
10	235	21213
11	238	19611
12	242	18411
13	244	17240
14	251	16543
15	254	15645
16	256	14832
17	258	14113
18	266	13743
19	268	13169
20	271	12633
21	273	12174
22	280	11930
23	284	11584
24	289	11299
25	295	11063
26	297	10731
27	303	10529
28	305	10236
29	314	10158
30	316	9903
31	319	9654
32	321	9418
33	330	9400
34	334	9210
35	336	9022
36	341	8899
37	348	8831
38	351	8653
39	355	8535
40	358	8392
41	361	8251
42	377	8398
43	379	8253
44	383	8128
45	395	8194
46	398	8070
47	410	8148
48	413	8026
49	419	7975
50	422	7854
51	427	7786
52	429	7680
53	438	7684
54	441	7590
55	449	7581
56	456	7552
57	459	7457
58	463	7395
59	466	7303
60	468	7214
61	470	7124
62	472	7030
63	474	6940
64	479	6901
65	482	6835
66	485	6757
67	487	6682
68	489	6611
69	496	6598
70	498	6526
71	502	6474
72	510	6477
73	515	6454
74	527	6507
75	531	6463
76	539	6472
77	543	6427
78	548	6390
79	555	6384
80	560	6363
81	564	6319
82	566	6253
83	572	6237
84	574	6185
85	576	6129
86	578	6075
87	583	6043
88	585	5988
89	586	5934
90	589	5884
91	591	5834
92	593	5788
93	595	5740
94	598	5698
95	600	5656
96	604	5623
97	607	5587
98	614	5591
99	616	5551
100	619	5513
101	621	5475
102	625	5446
103	628	5410
104	630	5373
105	632	5335
106	641	5356
107	648	5356
108	650	5321
109	653	5288
110	657	5265
111	660	5233
112	662	5204
113	691	5375
114	695	5349
115	697	5316
116	699	5277
117	701	5245
118	707	5238
119	709	5204
120	711	5170
121	714	5142
122	716	5111
123	725	5127
124	728	5096
125	730	5066
126	735	5058
127	739	5038
128	742	5010
129	744	4983
130	753	5001
131	757	4980
132	760	4956
133	766	4953
134	768	4926
135	773	4914
136	775	4886
137	784	4897
138	789	4889
139	793	4874
140	797	4858
141	798	4827
142	808	4847
143	813	4835
144	817	4821
145	820	4798
146	827	4799
147	829	4775
148	833	4761
149	836	4738
150	841	4733
151	846	4722
152	850	4709
153	857	4709
154	861	4696
155	864	4678
156	869	4670
157	873	4653
158	876	4635
159	879	4616
160	883	4604
161	886	4584
162	890	4574
163	893	4554
164	905	4584
165	920	4626
166	923	4604
167	925	4582
168	927	4562
169	931	4550
170	935	4532
171	936	4510
172	938	4487
173	944	4484
174	946	4462
175	948	4441
176	950	4419
177	952	4397
178	954	4376
179	959	4370
180	961	4350
181	963	4330
182	965	4309
183	967	4289
184	969	4269
185	971	4253
186	974	4235
187	976	4217
188	978	4198
189	980	4180
190	985	4173
191	987	4154
192	989	4136
193	991	4118
194	993	4099
195	995	4082
196	999	4074
197	1001	4057
198	1003	4038
199	1005	4020
200	1006	4001
